tid,data
,1395
,1407
,1417
,1418
,1418
,1422
,1423
,1423
,1443
,1444
,1445
,1444
,1450
,1451
,1451
,1452
,1461
,1462
,1872
,865
,864
,865
,865
,866
,866
,866
,2351
,2420
,1599
,1601
,1611
,1618
,1623
,1627
,1633
,1635
,1641
,1653
,1665
,933
,935
,1254
,2333
,2370
,2371
,2371
,2379
,2467
,2497
,2272
,2544
,2545
,2548
,2546
,2597
,2597
,2597
,2598
,2696
,2696
,2697
,2710
,2910
,2912
,2928
,2929
,2954
,2955
,2954
,1971
,1972
,1972
,2031
,2032
,2032
,2032
,2069
,2070
,2069
,2405
,2406
,2407
,2509
,1499
,1499
,2509
,1501
,1501
,1502
,1503
,1503
,1505
,1566
,1570
,1579
,1584
,1607
,3134
,1152
,1155
,4171
,1158
,1180
,3193
,1182
,1183
,1186
,1197
,1203
,1204
,1209
,3225
,3225
,3226
,3227
,3231
,3234
,1223
,1225
,1240
,1249
,1256
,1257
,1262
,1262
,1419
,2606
,2612
,2612
,2612
,2620
,2621
,2621
,2622
,2624
,2629
,2630
,1763
,3985
,1988
,2025
,2026
,2041
,1079
,1083
,1085
,1115
,1118
,1119
,1121
,1123
,1125
,1128
,1130
,1135
,1140
,1149
,1154
,1160
,4181
,1204
,1208
,1784
,911
,913
,1920
,918
,922
,929
,1934
,932
,937
,937
,938
,1944
,1958
,1972
,1363
,1371
,1388
,4419
,976
,977
,985
,989
,1024
,1024
,1026
,1026
,1027
,1025
,1027
,1028
,1027
,2037
,1413
,1419
,1421
,1423
,1423
,1424
,1428
,1434
,1436
,2471
,2472
,2472
,1844
,1862
,4234
,4235
,4239
,4238
,4241
,4242
,4245
,2262
,2268
,4353
,4359
,2349
,2350
,2354
,2355
,2362
,2363
,2363
,2365
,2366
,2376
,2385
,2388
,2403
,2407
,1420
,4192
,2249
,2258
,2276
,2355
,2357
,2363
,2367
,2374
,2382
,2382
,2648
,2031
,2049
,4171
,2155
,2164
,1151
,1151
,1178
,1206
,4295
,4301
,4314
,3967
,3971
,3972
,4004
,4005
,4048
,2022
,2037
,2038
,2043
,2055
,2084
,2111
,2117
,2121
,2140
,5266
,1368
,1381
,2895
,3947
,4036
,4037
,4078
,2203
,2204
,2219
,4236
,2248
,3253
,3253
,3257
,3267
,3306
,3506
,4527
,4532
,1520
,9706
,3810
,3811
,3837
,3052
,3053
,3053
,3064
,3065
,3073
,3092
,3095
,3105
,6740
,2785
,2786
,2789
,2790
,2793
,2809
,2814
,2815
,2818
,2834
,1837
,6181
,7614
,6603
,3593
,6610
,8729
,8766
,2912
,4270
,4480
,5783
,5792
,4973
,4988
,4216
,3214
,3245
,7309
,4336
,6401
,4412
,4460
,9751
,1943
,7034
,7040
,7066
,5143
,5165
,6184
,6186
,4230
,6342
,5389
,2531
,2756
,2768
,2777
,6858
,6863
,6930
,5041
,5047
,6066
,10162
,8238
,12279
,4241
,4241
,4347
,4378
,3382
,2475
,2480
,2481
,7625
,6632
,6634
,6650
,6727
,3795
,3798
,4989
,5193
,3309
,3311
,3318
,1319
,1319
,1323
,1325
,1327
,1328
,1330
,1331
,1335
,1341
,1467
,3536
,3564
,3565
,3575
,3594
,5701
,5987
,8143
,8162
,6388
,4440
,6707
,9772
,3139
,3166
,2249
,2273
